Cluster_Labels
-1
-1
-1
-1
-1
0
0
0
-1
0
-1
0
0
0
-1
1
-1
-1
0
-1
2
-1
539
-1
-1
625
-1
0
0
1
1
-1
0
0
-1
0
0
-1
-1
-1
0
0
0
0
0
0
0
-1
-1
-1
0
0
0
0
-1
-1
-1
0
-1
0
-1
-1
-1
0
-1
-1
0
-1
0
-1
0
58
3
-1
-1
0
-1
0
0
0
-1
-1
0
4
-1
0
-1
0
-1
-1
423
1
0
0
0
-1
0
0
-1
5
0
-1
-1
-1
-1
-1
-1
-1
-1
-1
0
-1
-1
-1
0
0
-1
-1
-1
-1
1
-1
-1
-1
0
-1
-1
0
1
0
6
-1
-1
0
0
-1
1
-1
101
-1
-1
-1
0
-1
-1
7
-1
-1
-1
-1
-1
-1
0
-1
-1
-1
-1
-1
0
-1
-1
-1
-1
-1
0
0
0
-1
-1
-1
-1
0
-1
8
-1
0
-1
9
10
-1
0
-1
-1
0
-1
0
-1
264
-1
0
-1
-1
1
-1
0
-1
0
0
0
-1
0
-1
-1
-1
0
0
-1
-1
-1
0
-1
955
-1
-1
1
-1
0
-1
11
12
-1
-1
-1
-1
-1
-1
0
0
6
0
-1
-1
0
-1
0
-1
0
13
194
14
-1
-1
15
0
0
-1
-1
-1
0
0
0
-1
-1
0
0
0
-1
-1
-1
-1
-1
-1
16
-1
0
-1
0
-1
-1
0
-1
-1
241
-1
-1
0
0
-1
-1
-1
-1
-1
0
0
0
17
-1
-1
-1
9
-1
-1
18
19
-1
0
-1
0
-1
-1
-1
-1
-1
-1
-1
1
-1
-1
0
20
0
0
-1
0
0
0
-1
21
-1
-1
22
3
-1
23
0
0
-1
-1
0
0
-1
-1
0
-1
-1
-1
-1
24
-1
0
0
-1
-1
25
0
-1
0
0
-1
1
-1
1
-1
0
-1
-1
0
-1
-1
26
1
-1
-1
1
-1
27
-1
-1
-1
0
0
-1
-1
-1
-1
-1
0
0
-1
0
-1
0
0
-1
28
-1
-1
262
-1
-1
-1
1
-1
29
0
0
0
0
-1
-1
0
-1
0
-1
30
0
0
-1
0
0
-1
-1
0
1134
-1
0
48
-1
0
-1
31
-1
-1
-1
32
-1
0
-1
-1
-1
-1
0
12
0
33
-1
34
0
943
9
0
0
0
334
0
-1
-1
35
-1
-1
-1
-1
-1
0
-1
-1
0
-1
-1
0
0
0
0
36
-1
-1
-1
-1
-1
-1
0
177
0
0
1183
-1
-1
-1
-1
0
-1
-1
-1
-1
0
0
0
-1
-1
37
1
38
39
-1
0
120
0
-1
-1
145
1
-1
-1
-1
1009
0
-1
0
1
40
0
0
0
0
-1
-1
0
-1
-1
1
0
-1
41
-1
-1
202
-1
0
-1
-1
-1
0
-1
-1
-1
0
-1
42
0
0
-1
0
-1
-1
43
-1
0
44
-1
-1
0
-1
-1
-1
-1
-1
-1
0
0
-1
45
-1
-1
-1
649
-1
-1
0
-1
-1
-1
0
0
46
0
-1
0
883
0
357
47
-1
0
-1
-1
0
48
389
49
0
-1
0
-1
0
-1
-1
-1
-1
-1
-1
527
0
